fold,best_val_acc,final_train_acc,final_val_acc,time
1,0.9746376811594203,0.9981834695731153,0.9746376811594203,6588.705984115601
2,0.9891304347826086,0.9954586739327884,0.9855072463768116,6915.277964830399
3,0.9927272727272727,1.0,0.9927272727272727,6822.670921802521
4,0.9963636363636363,1.0,0.9927272727272727,6644.368860244751
5,0.9818181818181818,0.9981851179673321,0.9709090909090909,6497.978872060776
